Account ID,Line Item,Start Time,End Time,Project,Measurement1,Measurement1 Total Consumption,Measurement1 Units,Credit1,Credit1 Amount,Credit1 Currency,Credit2,Credit2 Amount,Credit2 Currency,Cost,Currency,Project Number,Project ID,Project Name,Project Labels,Description
000000-111111-222222,com.google.cloud/services/cloud-storage/ClassARequestMultiRegional,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/cloud-storage/ClassARequestMultiRegional,74,requests,234567890,-0.00037,USD,,,,0.00037,USD,123456789,test-project,TestProject,,Class A Request Multi-Regional Storage
000000-111111-222222,com.google.cloud/services/cloud-storage/ClassARequestRegional,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/cloud-storage/ClassARequestRegional,13241,requests,234567890,-0.066205,USD,,,,0.066205,USD,123456789,test-project,TestProject,,Class A Request Regional Storage
000000-111111-222222,com.google.cloud/services/cloud-storage/ClassBRequestMultiRegional,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/cloud-storage/ClassBRequestMultiRegional,1,requests,,,,,,,0,USD,123456789,test-project,TestProject,,Class B Request Multi-Regional Storage
000000-111111-222222,com.google.cloud/services/cloud-storage/ClassBRequestRegional,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/cloud-storage/ClassBRequestRegional,2093,requests,234567890,-0.000836,USD,,,,0.000836,USD,123456789,test-project,TestProject,,Class B Request Regional Storage
000000-111111-222222,com.google.cloud/services/cloud-storage/StorageMultiRegionalEuGbsec,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/cloud-storage/StorageMultiRegionalEuGbsec,156197675093095424,byte-seconds,234567890,-1.412123,USD,,,,1.412123,USD,123456789,test-project,TestProject,,Multi-Regional Storage Europe
000000-111111-222222,com.google.cloud/services/cloud-storage/StorageMultiRegionalUsGbsec,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,234567890,com.google.cloud/services/cloud-storage/StorageMultiRegionalUsGbsec,23069696,byte-seconds,,,,,,,0,USD,234567890,test-project-dev,TestProject-dev,,Multi-Regional Storage US
000000-111111-222222,com.google.cloud/services/cloud-storage/StorageMultiRegionalUsGbsec,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/cloud-storage/StorageMultiRegionalUsGbsec,17721913810944,byte-seconds,234567890,-0.00016,USD,,,,0.00016,USD,123456789,test-project,TestProject,,Multi-Regional Storage US
000000-111111-222222,com.google.cloud/services/cloud-storage/StorageRegionalEuGbsec,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,234567890,com.google.cloud/services/cloud-storage/StorageRegionalEuGbsec,45298501344256,byte-seconds,234567890,-0.000315,USD,,,,0.000315,USD,234567890,test-project-dev,TestProject-dev,,Regional Storage Europe
000000-111111-222222,com.google.cloud/services/cloud-storage/StorageRegionalEuGbsec,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/cloud-storage/StorageRegionalEuGbsec,373140891340231680,byte-seconds,234567890,-2.594941,USD,,,,2.594941,USD,123456789,test-project,TestProject,,Regional Storage Europe
000000-111111-222222,com.google.cloud/services/cloud-storage/StorageRegionalUsGbsec,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,234567890,com.google.cloud/services/cloud-storage/StorageRegionalUsGbsec,351319853056,byte-seconds,,,,,,,0,USD,234567890,test-project-dev,TestProject-dev,,Regional Storage US
000000-111111-222222,com.google.cloud/services/compute-engine/Licensed1000201Core,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/compute-engine/Licensed1000201Core,51599,seconds,,,,,,,0,USD,123456789,test-project,TestProject,,Licensing Fee for Ubuntu 16.04 (Xenial Xerus) running on Instance Core
000000-111111-222222,com.google.cloud/services/compute-engine/Licensed1000201CoreRange_1_OrMore,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/compute-engine/Licensed1000201CoreRange_1_OrMore,12899,seconds,,,,,,,0,USD,123456789,test-project,TestProject,,Licensing Fee for Ubuntu 16.04 (Xenial Xerus) running on Instance Core
000000-111111-222222,com.google.cloud/services/compute-engine/Licensed1000201Ram,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/compute-engine/Licensed1000201Ram,49859201597440,byte-seconds,,,,,,,0,USD,123456789,test-project,TestProject,,Licensing Fee for Ubuntu 16.04 (Xenial Xerus) running on Instance Ram
000000-111111-222222,com.google.cloud/services/compute-engine/Licensed1000207Core,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/compute-engine/Licensed1000207Core,1147253,seconds,,,,,,,0,USD,123456789,test-project,TestProject,,Licensing Fee for CentOS 7 running on Instance Core
000000-111111-222222,com.google.cloud/services/compute-engine/Licensed1000207CoreRange_1_OrMore,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/compute-engine/Licensed1000207CoreRange_1_OrMore,438233,seconds,,,,,,,0,USD,123456789,test-project,TestProject,,Licensing Fee for CentOS 7 running on Instance Core
000000-111111-222222,com.google.cloud/services/compute-engine/Licensed1000207G1Small,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/compute-engine/Licensed1000207G1Small,12900,seconds,,,,,,,0,USD,123456789,test-project,TestProject,,Licensing Fee for CentOS 7 running on Small instance with 1 VCPU
000000-111111-222222,com.google.cloud/services/compute-engine/Licensed1000207Ram,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/compute-engine/Licensed1000207Ram,2384198623035392,byte-seconds,,,,,,,0,USD,123456789,test-project,TestProject,,Licensing Fee for CentOS 7 running on Instance Ram
000000-111111-222222,com.google.cloud/services/compute-engine/Licensed1000213Core,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/compute-engine/Licensed1000213Core,51600,seconds,234567890,-0.573333,USD,,,,0.573333,USD,123456789,test-project,TestProject,,Licensing Fee for Windows Server 2016 Datacenter Edition running on Instance Core
000000-111111-222222,com.google.cloud/services/compute-engine/Licensed1000213Ram,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/compute-engine/Licensed1000213Ram,110810156236800,byte-seconds,,,,,,,0,USD,123456789,test-project,TestProject,,Licensing Fee for Windows Server 2016 Datacenter Edition running on Instance Ram
000000-111111-222222,com.google.cloud/services/compute-engine/NetworkGoogleEgressEuEu,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/compute-engine/NetworkGoogleEgressEuEu,26303489,bytes,,,,,,,0,USD,123456789,test-project,TestProject,,Network Google Egress from EMEA to EMEA
000000-111111-222222,com.google.cloud/services/compute-engine/NetworkGoogleIngressEuEu,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/compute-engine/NetworkGoogleIngressEuEu,12944123,bytes,,,,,,,0,USD,123456789,test-project,TestProject,,Network Google Ingress from EMEA to EMEA
000000-111111-222222,com.google.cloud/services/compute-engine/NetworkInterRegionEgressEuNa,2017-10-29T00:00:00-07:00,2017-10-30T00:00:00-07:00,123456789,com.google.cloud/services/compute-engine/NetworkInterRegionEgressEuNa,16108,bytes,,,,,,,0,USD,123456789,test-project,TestProject,,Network Inter Region Egress from EMEA to Americas
000000-111111-222222,com.google.cloud/services/compute-engine/VmimageG1Small_Eu,2017-10-30T00:00:00-07:00,2017-10-31T00:00:00-07:00,123456789,com.google.cloud/services/compute-engine/VmimageG1Small_Eu,146999,seconds,Sustained Usage Discount,-0.698249,USD,234567890,-0.465493,USD,1.163742,USD,123456789,test-project,TestProject,,Small instance with 1 VCPU running in EMEA
